Germany,Deutschland
Austria,Österreich,
Switzerland,Schweiz
Netherlands,Niederlande
Invoice,Rechnung
ratepay_rechnung,Rechnung
ELV,SEPA-Lastschrift
ratepay_directdebit,SEPA-Lastschrift
Installment,Ratenzahlung
ratepay_rate,Ratenzahlung
0% Financing,0%-Finanzierung
ratepay_rate0,0%-Finanzierung
IBS,Integrierte Bezahlsteuerung (IBS)
General Settings,Allgemeine Einstellungen
Advanced Settings,Erweiterte Einstellungen
Enabled,Aktiv
Title,Titel
Method Enabled,Zahlungsart aktivieren
Specific Countries Billing,Länderauswahl Rechnung
Specific Countries Delivery,Länderauswahl Versand
Specific Currency,Währung
Specific Currencies,Währungsauswahl
Specific Categories,Ausgeschlossene Produktkategorien
Specific Shipping,Ausgeschlossene Versandmethoden
No Restriction,Keine Beschränkung
Hook Deliver,Versenden erweitern
Hook Creditmemo,Gutschrift erweitern
Hook Cancel,Abbrechen erweitern
Confirmation Deliver Event,Versandmeldung
Specific States Before Delivery,State vor Versand
Specific States After Delivery,State nach Versand
Specific Statuses Before Delivery,Status vor Versand
Specific Statuses After Delivery,Status nach Versand
Delivery,Versand
Specific Customer Groups,Zugelassene Benutzergruppen
All Customers,Alle Benutzer
Profile-Id,Profile-Id
Security Code,Security Code
Get Config,Konfiguration laden
Status RatePAY,Status RatePAY,
Minimum Order Total,Mindestbestellwert
Maximum Order Total,Höchstbestellwert
Maximum Order B2B,Höchstbestellwert B2B
Activate Sandbox,Sandbox aktivieren
Due Days,Dynamische Fälligkeit
Rate Minimum,Minimumrate
Month Allowed,Laufzeiten (in Monaten)
Enable elv,SEPA-Lastschrift aktivieren
Activate Logging,Logging aktivieren
Sort Order,Sortierung
Delivery Address,Abweichende Lieferadresse
Delivery Address B2C,Abweichende Lieferadresse bei B2C
Delivery Address B2B,Abweichende Lieferadresse bei B2B
Invoice Allowed,Ratenzahlung per &Uuml;berweisung zulassen
IBAN only,Nur SEPA/IBAN Kontodaten
Address Normalization,Adressnormierung
Device Ident Enabled,Device Ident aktiviert
Device Ident Id,Device Ident ID
Payment Fee,RatePAY Zahlungsartenaufschlag
Sandbox Notifcation,"Testmodus aktiv, bitte <u>nutzen Sie diese Zahlungsart nicht für die Bestellung</u> und informieren den H&auml;ndler &uuml;ber diese Nachricht"
Ordernumber,Order #
Transaction-Id,Transaction-Id
Customer name,Customer name
Payment method,Payment method
Request type,Request type
Request subtype,Request subtype
Result message,Result message
Result code,Result code
Result,Result
Reason,Reason message
Date,Date
Delete,Löschen
Alter,Ändern
Are you sure?,Sind Sie sicher?
Delete old entries,Alte Einträge Löschen
"All entries, which are older then x days",Alle Einträge die älter als x Tage sind
Log,Log
Ratepay Logs,RatePAY Logs
descriptor,Verwendungszweck:
payment method,Zahlungsart:
transactionId,Transaktion-Id:
Delivery was not successful.,Die Lieferung war nicht erfolgreich.
key,Schl&uuml;ssel,
value,Wert
Ratepay Bulk,RatePAY Bulk
Cancel,stornieren
Invoicing,berechnen
Creditmemo,retournieren
Request Failed,Anfrage fehlgeschlagen\nZahlungsart wird aus Sicherheitsgründen deaktiviert
Country not supported by credentials,Aktuelles Land wird durch diese Konfiguration nicht unterstützt
Interest Rate not supported by payment method,Zahlungsart unterstützt nur 0%-Ratenkonfiguration
