"Germany", "Germany"
"Austria", "Austria"
"Switzerland", "Switzerland"
"Netherlands", "Netherlands"
"Invoice", "Invoice"
"ratepay_rechnung", "Invoice"
"ELV", "Direct Debit (SEPA)"
"ratepay_directdebit", "Direct Debit (SEPA)"
"Installment", "Installment"
"ratepay_rate", "Installment"
"0% Financing", "0% Financing"
"ratepay_rate0", "0% Financing"
"IBS", "Integrated Payment Solution (IBS)"
"General Settings","General Settings"
"Advanced Settings","Advanced Settings"
"Enabled","Enabled"
"Title","Title"
"Method Enabled", "Enable Method"
"Specific Countries Billing","Specific countries billing"
"Specific Countries Delivery","Specific countries delivery"
"Specific Currencies","Currency"
"Specific Currencies","Specific currencies"
"Specific Categories","Specific product categories"
"Specific Shipping","Specific carrier/shipping methods"
"No Restriction","No restriction"
"Hook Deliver","Extend deliver"
"Hook Creditmemo","Extend creditmemo"
"Hook Cancel","Extend cancel"
"Confirmation Deliver Event","Deliver event"
"Specific States Before Delivery","Specific state before delivery"
"Specific States After Delivery","Specific state after delivery"
"Specific Statuses Before Delivery","Specific status before delivery"
"Specific Statuses After Delivery","Specific status after delivery"
"Delivery","Delivery"
"Specific Customer Groups","Specific customer groups"
"All Customers","All customers"
"Profile-Id","Profile-Id"
"Security Code","Security Code"
"Get Config","Get configuration"
"Status Ratepay", "Status Ratepay"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Maximum Order B2B","Maximum Order B2B"
"Activate Sandbox","Activate Sandbox"
"Rate Minimum", "Minimum Rate"
"Month Allowed", "Allowed Months"
"Enable elv", "SEPA-Lastschrift aktivieren"
"Activate Logging","Activate Logging"
"Sort Order","Sort Order"
"Delivery Address", "Differing delivery address"
"Delivery Address B2C", "Differing delivery address B2C"
"Delivery Address B2B", "Differing delivery address B2B"
"Invoice Allowed","Invoice Allowed"
"IBAN only", "SEPA/IBAN account information only"
"Address Normalization", "Address normalization"
"Device Ident Enabled", "Device Ident aktiviert"
"Device Ident Id", "Device Ident ID"
"Ratepay Payment Fee", "Payment fee"
"Sandbox Notifcation", "Testing mode activ. Please <u>do not use this payment method to order</u>. Please let the Merchant know about this notification"
"Ordernumber","Order #"
"Transaction-Id","Transaction-Id"
